PROGRAMA;CURSO;DISCIPLINA;AACSB;EQUIS;AMBA;ABET
PGLS;MASTER IN BUSINESS MANAGEMENT - ESPECIALIZAÇÃO EM TECHNOLOGY MANAGEMENT;MBMTEM_202534_001 - TECHNOLOGY STRATEGY AND DESIGN FOR BUSINESS;SIM;SIM;NÃO;NÃO
PGLS;MASTER IN BUSINESS MANAGEMENT - ESPECIALIZAÇÃO EM TECHNOLOGY MANAGEMENT;MBMTEM_202534_003 - TECHNOLOGY TRANSFORMATION FOR BUSINESS;SIM;SIM;NÃO;NÃO
PGLS;MASTER IN BUSINESS MANAGEMENT - ESPECIALIZAÇÃO EM TECHNOLOGY MANAGEMENT;MBMTEM_202534_001 - TECHNOLOGY STRATEGY AND DESIGN FOR BUSINESS;SIM;SIM;NÃO;NÃO
PGLS;MBA EXECUTIVO EM FINANÇAS;MBFIN_202031_010 - MERCADOS FINANCEIROS E DE CAPITAIS;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO EM FINANÇAS;MBFIN_202031_010 - MERCADOS FINANCEIROS E DE CAPITAIS;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO EM FINANÇAS;MBFIN_202031_010 - MERCADOS FINANCEIROS E DE CAPITAIS;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO EM FINANÇAS;MBFIN_202031_010 - MERCADOS FINANCEIROS E DE CAPITAIS;SIM;SIM;SIM;NÃO
PGLS;LLC EM DIREITO EMPRESARIAL;DIREITO_202333_001 - TESES TRIBUTÁRIAS NOS TRIBUNAIS SUPERIORES E NO CARF;NÃO;NÃO;NÃO;NÃO
PGLS;LLC EM DIREITO EMPRESARIAL;DIREITO_202333_001 - TESES TRIBUTÁRIAS NOS TRIBUNAIS SUPERIORES E NO CARF;NÃO;NÃO;NÃO;NÃO
PGLS;LLC EM DIREITO EMPRESARIAL;DIREITO_202333_001 - TESES TRIBUTÁRIAS NOS TRIBUNAIS SUPERIORES E NO CARF;NÃO;NÃO;NÃO;NÃO
PGLS;LLC EM DIREITO EMPRESARIAL;DIREITO_202333_001 - TESES TRIBUTÁRIAS NOS TRIBUNAIS SUPERIORES E NO CARF;NÃO;NÃO;NÃO;NÃO
GRADUACAO;ENGENHARIA DE COMPUTAÇÃO;GRENGCIE_202461_0001 - PROJETO FINAL - CAPSTONE;NÃO;NÃO;NÃO;SIM
GRADUACAO;ENGENHARIA MECÂNICA;GRENGMEC_201561_0013 - FABRICAÇÃO E METROLOGIA;NÃO;NÃO;NÃO;SIM
GRADUACAO;ENGENHARIA MECÂNICA;GRENGELE_202561_0008 - GESTÃO DE OPERAÇÕES;NÃO;NÃO;NÃO;SIM
GRADUACAO;ENGENHARIA MECÂNICA / ENGENHARIA MECATRÔNICA / ENGENHARIA DE COMPUTAÇÃO;GRENGELE_202361_0001 - ELETIVA GRADUAÇÃO ENGENHARIA 80 HORAS;NÃO;NÃO;NÃO;SIM
GRADUACAO;ENGENHARIA MECÂNICA;GRENGMEC_201561_0013 - FABRICAÇÃO E METROLOGIA;NÃO;NÃO;NÃO;SIM
GRADUACAO;ENGENHARIA MECÂNICA / ENGENHARIA MECATRÔNICA / ENGENHARIA DE COMPUTAÇÃO;GRENG_202661_0001 - DESIGN DE PRODUTO E SERVIÇO;NÃO;NÃO;NÃO;SIM
PGLS;MASTER IN BUSINESS MANAGEMENT - ESPECIALIZAÇÃO EM LEADERSHIP IN TEAMS;MBMTM_202434_002 - LEADING AGILE TEAMS II;SIM;SIM;NÃO;NÃO
PGLS;MASTER IN BUSINESS MANAGEMENT - ESPECIALIZAÇÃO EM MARKETING MANAGEMENT;MBMMM_202331_002 - MARKETING EXECUTION AND EXCELLENCE;SIM;SIM;NÃO;NÃO
PGLS;MASTER IN BUSINESS MANAGEMENT - ESPECIALIZAÇÃO EM PEOPLE MANAGEMENT;MBMBE_202532_003 - ACTING;SIM;SIM;NÃO;NÃO
PGLS;MASTER IN BUSINESS MANAGEMENT - ESPECIALIZAÇÃO EM LEADERSHIP IN TEAMS;MBMTM_202532_002 - LEADING AGILE TEAMS II;SIM;SIM;NÃO;NÃO
PGLS;MASTER IN BUSINESS MANAGEMENT - ESPECIALIZAÇÃO EM MARKETING MANAGEMENT;MBMMM_202532_002 - MARKETING EXECUTION AND EXCELLENCE;SIM;SIM;NÃO;NÃO
PGLS;MASTER IN BUSINESS MANAGEMENT - ESPECIALIZAÇÃO EM PEOPLE MANAGEMENT;MBMBE_202532_003 - ACTING;SIM;SIM;NÃO;NÃO
PGLS;MASTER IN BUSINESS MANAGEMENT - ESPECIALIZAÇÃO EM MARKETING MANAGEMENT;MBMMM_202331_002 - MARKETING EXECUTION AND EXCELLENCE;SIM;SIM;NÃO;NÃO
PGLS;MASTER IN BUSINESS MANAGEMENT - ESPECIALIZAÇÃO EM PEOPLE MANAGEMENT;MBMBE_202532_003 - ACTING;SIM;SIM;NÃO;NÃO
PGLS;MASTER IN BUSINESS MANAGEMENT - ESPECIALIZAÇÃO EM MARKETING MANAGEMENT;MBMMM_202331_002 - MARKETING EXECUTION AND EXCELLENCE;SIM;SIM;NÃO;NÃO
PGLS;MASTER IN BUSINESS MANAGEMENT - ESPECIALIZAÇÃO EM PEOPLE MANAGEMENT;MBMBE_202532_003 - ACTING;SIM;SIM;NÃO;NÃO
PGLS;LLM - DIREITO DOS MERCADOS FINANCEIRO E DE CAPITAIS;LLMMF_202631_002 - REGULAÇÃO INTERNACIONAL DOS MERCADOS: SOFT LAW, PFMI, BIS, IOSCO, IASB;NÃO;NÃO;NÃO;NÃO
PGLS;LLM - DIREITO DOS MERCADOS FINANCEIRO E DE CAPITAIS;LLMMF_202631_002 - REGULAÇÃO INTERNACIONAL DOS MERCADOS: SOFT LAW, PFMI, BIS, IOSCO, IASB;NÃO;NÃO;NÃO;NÃO
PGLS;LLM - DIREITO DOS MERCADOS FINANCEIRO E DE CAPITAIS;LLMMF_202631_002 - REGULAÇÃO INTERNACIONAL DOS MERCADOS: SOFT LAW, PFMI, BIS, IOSCO, IASB;NÃO;NÃO;NÃO;NÃO
PGLS;LLM - DIREITO DOS MERCADOS FINANCEIRO E DE CAPITAIS;LLMMF_202631_002 - REGULAÇÃO INTERNACIONAL DOS MERCADOS: SOFT LAW, PFMI, BIS, IOSCO, IASB;NÃO;NÃO;NÃO;NÃO
PGLS;LLM - DIREITO SOCIETÁRIO;LLMDS_202631_002 - ANÁLISE DE DEMONSTRAÇÕES FINANCEIRAS;NÃO;NÃO;NÃO;NÃO
PGLS;LLM - DIREITO SOCIETÁRIO;LLMDS_202631_002 - ANÁLISE DE DEMONSTRAÇÕES FINANCEIRAS;NÃO;NÃO;NÃO;NÃO
PGLS;LLM - DIREITO SOCIETÁRIO;LLMDS_202631_002 - ANÁLISE DE DEMONSTRAÇÕES FINANCEIRAS;NÃO;NÃO;NÃO;NÃO
PGLS;LLM - DIREITO SOCIETÁRIO;LLMDS_202631_002 - ANÁLISE DE DEMONSTRAÇÕES FINANCEIRAS;NÃO;NÃO;NÃO;NÃO
PGLS;PÓS-GRADUAÇÃO EM FINANÇAS EMPRESARIAIS;PGFE_202333_010 - GESTÃO DE RISCOS FINANCEIROS;NÃO;NÃO;NÃO;NÃO
PGLS;PÓS-GRADUAÇÃO EM FINANÇAS EMPRESARIAIS;PGFE_202333_010 - GESTÃO DE RISCOS FINANCEIROS;NÃO;NÃO;NÃO;NÃO
GRADUACAO;DIREITO;GRDIRELE_202661_0009 - DIREITOS E DESIGUALDADES;NÃO;NÃO;NÃO;NÃO
PGSS;MESTRADO PROFISSIONAL EM POLÍTICAS PÚBLICAS;MPP_201931_029 - POLÍTICAS PÚBLICAS E INTERSECCIONALIDADE;SIM;SIM;NÃO;NÃO
PGLS;MBA EXECUTIVO;MBAEX_202531_002 - GESTÃO ESTRATÉGICA DE PESSOAS   ;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAEX_201233_019 - HABILIDADES DE LIDERANÇA;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAS_201631_016 - PROJETO APLICADO IV;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAS_201631_015 - PROJETO APLICADO III;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAS_201631_014 - PROJETO APLICADO II;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAS_201631_013 - PROJETO APLICADO I;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAEX_201233_019 - HABILIDADES DE LIDERANÇA;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAS_201631_016 - PROJETO APLICADO IV;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAEX_201233_019 - HABILIDADES DE LIDERANÇA;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAS_201631_016 - PROJETO APLICADO IV;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAS_201631_015 - PROJETO APLICADO III;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAS_201631_014 - PROJETO APLICADO II;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAS_201631_013 - PROJETO APLICADO I;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAEX_202531_002 - GESTÃO ESTRATÉGICA DE PESSOAS   ;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAEX_202531_002 - GESTÃO ESTRATÉGICA DE PESSOAS   ;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAEX_201233_019 - HABILIDADES DE LIDERANÇA;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAS_201631_016 - PROJETO APLICADO IV;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAS_201631_015 - PROJETO APLICADO III;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAS_201631_014 - PROJETO APLICADO II;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAS_201631_013 - PROJETO APLICADO I;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAEX_201233_019 - HABILIDADES DE LIDERANÇA;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAS_201631_016 - PROJETO APLICADO IV;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAS_201631_015 - PROJETO APLICADO III;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAS_201631_014 - PROJETO APLICADO II;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAS_201631_013 - PROJETO APLICADO I;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAEX_202531_002 - GESTÃO ESTRATÉGICA DE PESSOAS   ;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAS_201631_013 - PROJETO APLICADO I;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO;MBAEX_202531_002 - GESTÃO ESTRATÉGICA DE PESSOAS   ;SIM;SIM;SIM;NÃO
